assists,damages,deaths,denies,duration,hero_id,isRadiant,is_win,kda,kills,last_hits,match_id,radiant_win
10,22519,3,20,1305,13,false,true,7,19,120,3257286173,false
19,31823,6,19,1896,15,true,true,5,20,165,3257405805,true
17,22059,3,0,2250,106,false,true,6,8,244,3257541291,false
19,29665,10,14,2800,52,false,true,2,11,424,3257642960,false
17,31038,11,14,2428,4,true,false,2,16,241,3257873230,false
11,26502,1,21,1586,39,true,true,12,13,158,3257783011,true
6,17806,5,8,1776,74,false,false,2,8,179,3258004524,true
10,25973,4,10,1915,25,true,true,4,14,261,3258102877,true
12,37610,2,33,2383,15,false,true,9,15,280,3258202478,false
29,24920,12,13,3103,7,false,true,3,12,193,3258343079,false
9,22914,9,20,2051,13,true,false,2,11,172,3259774644,false
4,37056,8,17,2716,106,true,false,2,14,282,3259874604,false
12,37989,6,31,3247,75,true,false,3,14,329,3259996399,false
2,11302,4,28,1286,11,false,false,1,6,132,3260151094,true
4,16611,6,12,1848,99,false,false,1,4,188,3260227792,true
5,11079,7,24,2380,109,false,false,0,0,386,3260326803,true
13,24787,3,17,2213,77,false,true,5,10,239,3260437197,false
12,28058,9,14,2820,49,true,true,1,6,286,3260556033,true
10,20353,5,8,1673,81,false,false,3,11,124,3260689685,true
12,16782,9,20,1927,46,false,false,1,6,201,3261892075,true
14,53939,8,18,3387,48,false,false,3,14,642,3261973487,true
6,25455,4,14,1983,74,true,false,2,7,290,3262102607,false
7,41618,4,12,2199,99,true,false,3,9,289,3262193806,false
9,25517,4,7,2037,18,true,true,5,16,277,3262309064,true
14,27105,3,19,1888,95,false,true,7,14,277,3262559950,false
15,42260,4,13,2870,106,false,true,5,14,407,3262640753,false
23,45834,6,11,3102,74,false,true,5,13,361,3262777202,false
19,19327,1,19,1560,13,false,true,13,7,124,3264583803,false
17,19771,7,4,1933,49,false,true,3,9,159,3264659616,false
9,25643,2,14,2161,13,true,true,9,18,277,3264752107,true
14,31837,2,21,2538,74,true,true,8,11,430,3276519753,true
10,24352,3,17,3038,109,true,true,4,7,484,3276692247,true
5,10306,6,15,2452,63,true,false,1,2,258,3276957488,false
11,15338,1,10,2396,18,false,true,9,8,372,3277141049,false
8,30435,8,11,3656,48,true,false,1,2,626,3278458756,false
13,50390,2,18,3919,8,true,true,10,17,399,3278548190,true
6,7969,1,11,1494,8,true,true,5,5,174,3278707616,true
22,48551,1,26,3656,63,false,true,19,17,573,3279048358,false
6,5575,2,22,1334,8,true,true,3,3,109,3279392401,true
6,33913,9,20,2556,44,true,false,1,13,231,3283307867,false
12,18697,1,26,1683,13,true,true,10,9,178,3283423969,true
24,29671,4,14,2212,49,true,true,6,10,219,3283522211,true
17,44969,9,11,3020,106,false,false,3,17,338,3283683791,true
10,18224,9,20,2283,74,false,false,1,5,252,3283819396,true
18,15678,2,19,2062,15,false,true,8,7,277,3283929412,false
12,38441,3,18,2297,70,true,true,8,21,229,3285949698,true
18,59392,2,24,3109,39,false,true,9,10,387,3286125668,false
0,3548,4,5,1656,106,false,false,0,0,155,3286273272,true
11,23204,9,10,1585,25,true,true,2,13,184,3286354888,true
3,7311,0,7,1012,21,false,true,10,7,75,3287988257,false
5,10992,6,9,2452,49,false,false,1,3,229,3288067910,true
1,7493,3,6,1219,63,false,false,0,1,66,3288242475,true
17,22529,3,15,2122,104,false,true,7,12,171,3288316231,false
5,18241,6,24,1625,11,false,false,1,8,180,3288432873,true
21,33262,2,5,2156,17,false,true,11,14,233,3288606440,false
2,10921,5,25,1672,46,false,false,1,7,185,3288525184,true
10,19170,3,16,1848,109,true,true,4,6,269,3288693313,true
4,14545,6,8,1875,9,false,false,1,5,220,3290167199,true
6,22608,10,15,1904,35,true,false,1,6,189,3290263264,false
11,25420,2,7,2403,39,true,true,7,11,311,3290357202,true
10,34230,3,12,2128,109,false,true,7,21,303,3290500454,false
11,29397,6,7,2954,49,false,false,2,6,433,3290587010,true
13,31895,6,5,2306,13,false,false,3,9,354,3290694562,true
12,33381,1,5,1858,104,false,true,18,24,139,3290799359,false
14,22433,5,13,2221,17,true,true,4,12,282,3292385279,true
3,26481,7,20,2308,72,false,false,1,12,308,3292490478,true
4,6008,1,5,1135,52,true,true,5,6,140,3292625018,true
16,21594,8,8,2248,106,true,true,3,13,240,3292797582,true
9,29353,4,5,2012,81,false,true,4,13,208,3294456647,false
14,20070,5,9,2087,19,true,false,3,8,189,3294593973,false
4,12641,6,8,1984,109,true,false,1,4,218,3294718567,false
18,42791,5,23,2752,75,true,true,6,19,240,3294810018,true
12,34281,2,17,1993,74,true,true,9,15,282,3294911310,true
11,19280,0,15,1616,41,true,true,23,12,174,3294980513,true
8,38188,2,16,2452,17,true,true,8,18,390,3296387028,true
12,24626,2,13,1841,109,true,true,9,15,275,3296497333,true
21,32492,6,13,3115,18,true,true,4,13,406,3296584826,true
15,23708,5,20,2597,74,false,false,3,8,375,3296724394,true
5,8479,11,19,1568,39,false,false,0,3,97,3296833453,true
6,11078,5,7,2242,49,true,false,1,4,325,3296910294,false
14,11809,1,0,1700,49,true,true,9,5,200,3298119921,true
12,35183,5,15,2278,13,true,false,5,19,286,3298186783,false
15,31289,6,18,3563,18,true,true,3,9,539,3298279765,true
18,38696,3,14,2322,13,false,true,9,19,235,3300250204,false
19,31593,9,7,2794,49,false,false,3,11,232,3300408807,true
10,19582,2,34,1787,109,true,false,4,4,237,3300535747,false
24,54594,6,22,3044,39,false,true,6,20,284,3300624367,false
16,28555,3,14,1507,39,true,true,9,23,142,3300763983,true
25,28435,9,10,1914,13,false,true,3,13,131,3300916897,false
